Desplazamiento Bala, Velocidad Bala, Estatus Aire, Estatus Suelo
-650,-402,0,1
-650,-402,0,1
-637,-402,0,1
-624,-402,0,1
-610,-402,0,1
-597,-402,0,1
-584,-402,0,1
-570,-402,0,1
-557,-402,0,1
-543,-402,0,1
-530,-402,0,1
-517,-402,0,1
-503,-402,0,1
-490,-402,0,1
-476,-402,0,1
-463,-402,0,1
-450,-402,0,1
-436,-402,0,1
-423,-402,0,1
-409,-402,0,1
-396,-402,0,1
-383,-402,0,1
-369,-402,0,1
-356,-402,0,1
-342,-402,0,1
-329,-402,0,1
-316,-402,0,1
-302,-402,0,1
-289,-402,0,1
-275,-402,0,1
-262,-402,0,1
-249,-402,1,0
-235,-402,1,0
-222,-402,1,0
-208,-402,1,0
-195,-402,1,0
-182,-402,1,0
-168,-402,1,0
-155,-402,1,0
-141,-402,1,0
-128,-402,1,0
-115,-402,1,0
-101,-402,1,0
-88,-402,1,0
-74,-402,1,0
-61,-402,1,0
-48,-402,1,0
-34,-402,1,0
-21,-402,1,0
-650,-509,1,0
-650,-724,1,0
-650,-724,1,0
-626,-724,1,0
-602,-724,1,0
-578,-724,1,0
-554,-724,0,1
-530,-724,0,1
-506,-724,0,1
-482,-724,0,1
-457,-724,0,1
-433,-724,0,1
-409,-724,0,1
-385,-724,0,1
-361,-724,0,1
-337,-724,0,1
-313,-724,0,1
-289,-724,0,1
-264,-724,0,1
-240,-724,0,1
-216,-724,0,1
-192,-724,0,1
-168,-724,0,1
-144,-724,0,1
-120,-724,0,1
-95,-724,0,1
-71,-724,0,1
-47,-724,0,1
-650,-456,0,1
-650,-456,0,1
-635,-456,0,1
-620,-456,0,1
-605,-456,0,1
-590,-456,0,1
-574,-456,0,1
-559,-456,0,1
-544,-456,0,1
-529,-456,0,1
-514,-456,0,1
-498,-456,0,1
-483,-456,0,1
-468,-456,0,1
-453,-456,0,1
-438,-456,0,1
-422,-456,0,1
-407,-456,0,1
-392,-456,0,1
-377,-456,0,1
-362,-456,0,1
-346,-456,0,1
-331,-456,0,1
-316,-456,0,1
-301,-456,0,1
-286,-456,0,1
-270,-456,0,1
-255,-456,0,1
-240,-456,0,1
-225,-456,0,1
-210,-456,0,1
-194,-456,0,1
-179,-456,1,0
-164,-456,1,0
-149,-456,1,0
-134,-456,1,0
-118,-456,1,0
-103,-456,1,0
-88,-456,1,0
-73,-456,1,0
-58,-456,1,0
-42,-456,1,0
-27,-456,1,0
-12,-456,1,0
3,-456,1,0
18,-456,1,0
34,-456,1,0
49,-456,1,0
50,-456,1,0
-650,-547,1,0
-650,-547,1,0
-632,-547,1,0
-614,-547,1,0
-596,-547,1,0
-578,-547,0,1
-559,-547,0,1
-541,-547,0,1
-523,-547,0,1
-505,-547,0,1
-486,-547,0,1
-468,-547,0,1
-450,-547,0,1
-432,-547,0,1
-413,-547,0,1
-395,-547,0,1
-377,-547,0,1
-359,-547,0,1
-341,-547,0,1
-322,-547,0,1
-304,-547,0,1
-286,-547,0,1
-268,-547,0,1
-249,-547,0,1
-231,-547,0,1
-213,-547,0,1
-195,-547,0,1
-176,-547,0,1
-158,-547,0,1
-140,-547,0,1
-122,-547,1,0
-103,-547,1,0
-85,-547,1,0
-67,-547,1,0
-49,-547,1,0
-31,-547,1,0
-12,-547,1,0
6,-547,1,0
24,-547,1,0
42,-547,1,0
50,-547,1,0
-650,-340,1,0
-650,-340,1,0
-639,-340,1,0
-628,-340,1,0
-616,-340,1,0
-605,-340,1,0
-594,-340,1,0
-582,-340,1,0
-571,-340,1,0
-560,-340,0,1
-548,-340,0,1
-537,-340,0,1
-526,-340,0,1
-514,-340,0,1
-503,-340,0,1
-492,-340,0,1
-480,-340,0,1
-469,-340,0,1
-458,-340,0,1
-446,-340,0,1
-435,-340,0,1
-424,-340,0,1
-412,-340,0,1
-401,-340,0,1
-390,-340,0,1
-378,-340,0,1
-367,-340,0,1
-356,-340,0,1
-344,-340,0,1
-333,-340,0,1
-322,-340,0,1
-310,-340,0,1
-299,-340,0,1
-288,-340,0,1
-276,-340,0,1
-265,-340,0,1
-254,-340,0,1
-242,-340,0,1
-231,-340,0,1
-220,-340,0,1
-208,-340,0,1
-197,-340,0,1
-186,-340,0,1
-174,-340,0,1
-163,-340,0,1
-152,-340,0,1
-140,-340,0,1
-129,-340,0,1
-118,-340,1,0
-106,-340,1,0
-95,-340,1,0
-84,-340,1,0
-72,-340,1,0
-61,-340,1,0
-50,-340,1,0
-38,-340,1,0
-27,-340,1,0
-16,-340,1,0
-4,-340,1,0
7,-340,1,0
18,-340,1,0
30,-340,1,0
41,-340,1,0
50,-340,1,0
-650,-543,1,0
-650,-543,1,0
-632,-543,1,0
-614,-543,1,0
-596,-543,1,0
-578,-543,1,0
-560,-543,0,1
-542,-543,0,1
-524,-543,0,1
-506,-543,0,1
-488,-543,0,1
-469,-543,0,1
-451,-543,0,1
-433,-543,0,1
-415,-543,0,1
-397,-543,0,1
-379,-543,0,1
-361,-543,0,1
-343,-543,0,1
-325,-543,0,1
-307,-543,0,1
-288,-543,0,1
-270,-543,0,1
-252,-543,0,1
-234,-543,0,1
-216,-543,0,1
-198,-543,0,1
-180,-543,0,1
-162,-543,0,1
-144,-543,0,1
-126,-543,0,1
-107,-543,0,1
-89,-543,0,1
-71,-543,0,1
-53,-543,1,0
-35,-543,1,0
